x,y,z,type_1fixed_2supp
353417.85167,2940290.18087,1225.115,2
353437.85167,2940296.18087,1221.206,1
353455.85167,2940248.18087,1232.356,1
353460.85167,2940302.18087,1223.686,1
353461.85167,2940249.18087,1228.631,2
353504.85167,2940315.18087,1227.531,2
353505.85167,2940259.18087,1222.273,2
353538.85167,2940266.18087,1239.683,1
353547.851670002,2940327.18087,1240.973,2
353548.85167,2940269.18087,1224.366,2
353563.85167,2940273.18087,1224.515,1
353591.85167,2940340.18087,1226.194,2
353599.85167,2940282.18087,1225.362,1
353617.851670001,2940286.18087,1225.915,1
353635.85167,2940352.18087,1228.16,2
353636.851670001,2940291.18087,1226.632,2
353656.85167,2940358.18087,1228.966,1
353671.851670001,2940363.18087,1228.863,1
353679.85167,2940302.18087,1229.585,2
353722.85167,2940377.18087,1229.917,2
353723.85167,2940314.18087,1230.739,2
353737.85167,2940318.18087,1231.397,1
353759.851670002,2940324.18087,1231.512,1
353765.85167,2940390.18087,1232.232,2
353766.851669999,2940326.18087,1231.875,2
353798.85167,2940335.18087,1231.229,1
353809.85167,2940402.18087,1227.566,2
353810.85167,2940339.18087,1231.203,2
353847.85167,2940349.18087,1232.51,1
353853.851670001,2940422.18087,1232.985,2
353854.85167,2940351.18087,1231.806,2
353881.85167,2940435.18087,1245.254,1
353896.85167,2940442.18087,1245.668,2
353897.85167,2940369.18087,1234.512,2
353919.85167,2940378.18087,1234.909,1
353940.85167,2940462.18087,1235.133,2
353941.851670001,2940387.18087,1235.32,2
353984.85167,2940482.18087,1232.612,2
353985.851670001,2940405.18087,1234.676,2
354027.85167,2940511.18087,1234.803,2
354028.851670001,2940431.18087,1227.821,2
354049.851670001,2940527.18087,1233.697,1
354071.85167,2940543.18087,1238.884,2
354072.851670001,2940459.18087,1235.726,2
354114.851670001,2940574.18087,1232.753,2
354115.85167,2940487.18087,1229.692,2
354122.851670001,2940580.18087,1233.344,1
354158.85167,2940606.18087,1223.13,2
354159.85167,2940518.18087,1224.702,2
354202.851670001,2940638.18087,1226.898,2
354203.85167,2940549.18087,1233.048,2
354231.85167,2940662.18087,1236.185,1
354245.85167,2940675.18087,1234.427,2
354246.851670001,2940583.18087,1229.522,2
354289.85167,2940716.18087,1231.817,2
354290.85167,2940623.18087,1230.596,2
354296.85167,2940722.18087,1231.86,1
354304.85167,2940636.18087,1232.892,1
354311.85167,2940736.18087,1231.95,1
354319.85167,2940650.18087,1234.263,1
354333.85167,2940757.18087,1236.624,2
354334.851670001,2940663.18087,1236.142,2
354355.85167,2940684.18087,1234.975,1
354370.85167,2940699.18087,1235.313,1
354376.85167,2940797.18087,1242.563,2
354377.85167,2940706.18087,1235.779,2
354406.851669999,2940736.18087,1237.982,1
354420.851670002,2940848.18087,1238.872,2
354428.85167,2940759.18087,1240.65,1
354463.85167,2940906.18087,1224.999,2
354464.851669999,2940799.18087,1235.046,2
354507.85167,2940966.18087,1223.484,2
354508.85167,2940854.18087,1225.98,2
354514.85167,2940975.18087,1223.285,1
354543.85167,2941013.18087,1234.018,1
354552.85167,2940911.18087,1229.477,2
354594.85167,2941079.18087,1232.794,2
354595.851670002,2940973.18087,1234.773,2
354638.85167,2941136.18087,1240.091,2
354639.85167,2941037.18087,1238.305,2
354653.85167,2941057.18087,1237.924,1
354674.85167,2941183.18087,1240.033,1
354682.85167,2941095.18087,1252.08,2
354725.851670002,2941243.18087,1229.428,2
354726.85167,2941152.18087,1238.785,2
354769.85167,2941292.18087,1228.073,2
354770.85167,2941208.18087,1240.797,2
354812.85167,2941338.18087,1225.853,2
354813.85167,2941257.18087,1229.508,2
354856.851669999,2941381.18087,1231.015,2
354857.85167,2941305.18087,1240.777,2
354900.85167,2941423.18087,1239.467,2
354901.851670001,2941351.18087,1230.221,2
354943.851669999,2941464.18087,1237.677,2
354944.85167,2941384.18087,1232.741,2
354965.85167,2941477.18087,1240.067,1
354987.85167,2941491.18087,1237.213,2
354988.851670002,2941418.18087,1234.505,2
355030.85167,2941517.18087,1237.458,2
355031.85167,2941451.18087,1234.156,2
355074.851670001,2941545.18087,1237.829,2
355075.851670001,2941479.18087,1234.797,2
355118.85167,2941572.18087,1240.063,2
355119.85167,2941505.18087,1236.64,2
355125.85167,2941576.18087,1239.647,1
355161.851670001,2941598.18087,1244.565,2
355162.85167,2941530.18087,1243.267,2
355169.85167,2941603.18087,1245.884,1
355177.85167,2941539.18087,1239.256,1
355205.85167,2941624.18087,1253.793,2
355206.85167,2941556.18087,1245.194,2
355227.851669999,2941635.18087,1249.636,1
355249.851670001,2941646.18087,1249.568,2
355250.851670001,2941581.18087,1243.676,2
355292.85167,2941667.18087,1249.801,2
355293.85167,2941599.18087,1245.999,2
355336.85167,2941688.18087,1247.181,2
355337.85167,2941618.18087,1247.426,2
355379.851670001,2941709.18087,1248.911,2
355380.85167,2941636.18087,1246.359,2
355423.85167,2941731.18087,1249.995,2
355424.85167,2941656.18087,1246.644,2
355430.85167,2941734.18087,1252.799,1
355467.851670001,2941752.18087,1248.339,2
355468.85167,2941677.18087,1242.427,2
355510.85167,2941773.18087,1248.849,2
355511.85167,2941696.18087,1238.994,2
355526.85167,2941703.18087,1236.174,1
355544.85167,2941790.18087,1243.716,2
355555.85167,2941779.18087,1242.196,2
355555.851670001,2941716.18087,1241.595,2
