x,y,z
353431.85167,2940294.18087,1223.92
353437.85167,2940296.18087,1221.206
353455.85167,2940248.18087,1232.356
353460.85167,2940302.18087,1223.686
353537.85167,2940266.18087,1239.704
353538.85167,2940266.18087,1239.683
353563.85167,2940273.18087,1224.515
353599.85167,2940282.18087,1225.362
353617.851670001,2940286.18087,1225.915
353656.85167,2940358.18087,1228.966
353671.851670001,2940363.18087,1228.863
353737.85167,2940318.18087,1231.397
353752.85167,2940322.18087,1231.515
353759.851670002,2940324.18087,1231.512
353784.851669999,2940331.18087,1231.206
353790.85167,2940333.18087,1231.28
353798.85167,2940335.18087,1231.229
353847.85167,2940349.18087,1232.51
353881.85167,2940435.18087,1245.254
353919.85167,2940378.18087,1234.909
353984.85167,2940482.18087,1232.612
354049.851670001,2940527.18087,1233.697
354122.851670001,2940580.18087,1233.344
354231.85167,2940662.18087,1236.185
354296.85167,2940722.18087,1231.86
354303.85167,2940729.18087,1231.925
354304.85167,2940636.18087,1232.892
354311.85167,2940736.18087,1231.95
354319.85167,2940650.18087,1234.263
354319.85167,2940650.18087,1234.263
354348.851670001,2940677.18087,1235.874
354355.85167,2940684.18087,1234.975
354370.85167,2940699.18087,1235.313
354406.851669999,2940736.18087,1237.982
354428.85167,2940759.18087,1240.65
354463.85167,2940906.18087,1224.999
354514.85167,2940975.18087,1223.285
354543.85167,2941013.18087,1234.018
354587.85167,2941070.18087,1231.845
354594.85167,2941079.18087,1232.794
354653.85167,2941057.18087,1237.924
354674.85167,2941183.18087,1240.033
354900.85167,2941423.18087,1239.467
354965.85167,2941477.18087,1240.067
355125.85167,2941576.18087,1239.647
355169.85167,2941603.18087,1245.884
355177.85167,2941539.18087,1239.256
355227.851669999,2941635.18087,1249.636
355430.85167,2941734.18087,1252.799
355526.85167,2941703.18087,1236.174
